WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
Stephen Thompson,Decision - Unanimous,5,5,300,1500,Welterweight,False,Marc Goddard,"December 19, 2020","Las Vegas, Nevada, USA",Stephen Thompson,37.0,182.9,77.1,190.5,0,171,406,191,428,0,0,0,0,0,,,,,,,,,,,,,Geoff Neal,30.0,180.3,77.1,190.5,0,85,179,110,205,0,0,0,0,226,,,,,,,,,,,,
Jose Aldo,Decision - Unanimous,3,3,300,900,Bantamweight,False,Dan Miragliotta,"December 19, 2020","Las Vegas, Nevada, USA",Jose Aldo,34.0,170.2,61.2,177.8,0,44,70,60,86,0,2,0,0,297,,,,,,,,,,,,,Marlon Vera,28.0,172.7,61.2,177.8,0,46,82,92,133,0,3,0,0,171,,,,,,,,,,,,
Michel Pereira,Decision - Unanimous,3,3,300,900,Welterweight,False,Mark Smith,"December 19, 2020","Las Vegas, Nevada, USA",Michel Pereira,27.0,185.4,77.1,185.4,0,44,79,56,94,2,2,1,0,81,,,,,,,,,,,,,Khaos Williams,26.0,182.9,77.1,195.6,0,55,127,62,134,0,0,0,0,36,,,,,,,,,,,,
Rob Font,KO/TKO,3,1,227,227,Bantamweight,False,Marc Goddard,"December 19, 2020","Las Vegas, Nevada, USA",Marlon Moraes,32.0,167.6,61.2,170.2,0,9,12,12,16,2,3,0,0,151,,,,,,,,,,,,,Rob Font,33.0,172.7,61.2,180.3,1,30,37,33,41,0,0,0,1,38,,,,,,,,,,,,
Marcin Tybura,KO/TKO,3,2,271,571,Heavyweight,False,Dan Miragliotta,"December 19, 2020","Las Vegas, Nevada, USA",Marcin Tybura,35.0,190.5,112.9,198.1,0,51,101,60,111,1,4,0,0,87,,,,,,,,,,,,,Greg Hardy,32.0,195.6,120.2,203.2,0,50,91,50,91,0,0,0,0,2,,,,,,,,,,,,
Anthony Pettis,Decision - Unanimous,3,3,300,900,Welterweight,False,Marc Goddard,"December 19, 2020","Las Vegas, Nevada, USA",Anthony Pettis,33.0,177.8,70.3,182.9,0,50,80,80,115,0,1,0,1,272,,,,,,,,,,,,,Alex Morono,30.0,180.3,77.1,182.9,0,31,78,50,102,1,5,0,0,150,,,,,,,,,,,,
Pannie Kianzad,Decision - Unanimous,3,3,300,900,Women's Bantamweight,False,Mark Smith,"December 19, 2020","Las Vegas, Nevada, USA",Sijara Eubanks,35.0,162.6,61.2,170.2,0,49,104,70,131,2,4,0,0,393,,,,,,,,,,,,,Pannie Kianzad,29.0,170.2,61.2,167.6,0,92,143,132,187,0,2,0,0,134,,,,,,,,,,,,
Deron Winn,Decision - Unanimous,3,3,300,900,Catch Weight,False,Dan Miragliotta,"December 19, 2020","Las Vegas, Nevada, USA",Deron Winn,31.0,167.6,83.9,177.8,0,20,38,64,89,12,16,0,0,569,,,,,,,,,,,,,Antonio Arroyo,31.0,190.5,83.9,185.4,0,45,62,70,87,0,0,0,0,28,,,,,,,,,,,,
Taila Santos,Decision - Unanimous,3,3,300,900,Women's Flyweight,False,Mark Smith,"December 19, 2020","Las Vegas, Nevada, USA",Gillian Robertson,25.0,165.1,56.7,160.0,0,9,14,42,48,0,2,1,0,61,,,,,,,,,,,,,Taila Santos,27.0,167.6,56.7,172.7,0,27,37,72,85,1,1,1,0,767,,,,,,,,,,,,
Tafon Nchukwi,Decision - Unanimous,3,3,300,900,Middleweight,False,Chris Tognoni,"December 19, 2020","Las Vegas, Nevada, USA",Tafon Nchukwi,26.0,182.9,93.0,195.6,1,120,187,159,234,0,2,0,0,171,,,,,,,,,,,,,Jamie Pickett,32.0,188.0,83.9,203.2,0,40,81,40,81,1,4,0,0,34,,,,,,,,,,,,
Jimmy Flick,Submission,3,1,198,198,Flyweight,False,Jerin Valel,"December 19, 2020","Las Vegas, Nevada, USA",Jimmy Flick,30.0,170.2,56.7,172.7,0,6,14,7,15,0,1,1,0,0,,,,,,,,,,,,,Cody Durden,29.0,170.2,56.7,170.2,0,21,32,30,43,2,2,0,0,81,,,,,,,,,,,,
Christos Giagos,Decision - Unanimous,3,3,300,900,Catch Weight,False,Chris Tognoni,"December 19, 2020","Las Vegas, Nevada, USA",Christos Giagos,30.0,177.8,70.3,180.3,0,31,67,76,124,5,15,0,0,537,,,,,,,,,,,,,Carlton Minus,27.0,177.8,77.1,190.5,0,28,80,29,81,0,0,0,0,0,,,,,,,,,,,,
Charles Oliveira,Decision - Unanimous,3,3,300,900,Lightweight,False,Mark Smith,"December 12, 2020","Las Vegas, Nevada, USA",Tony Ferguson,36.0,180.3,70.3,193.0,0,19,42,26,49,0,0,0,0,5,,,,,,,,,,,,,Charles Oliveira,31.0,177.8,70.3,188.0,0,41,63,86,112,3,3,3,0,699,,,,,,,,,,,,
Mackenzie Dern,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Jason Herzog,"December 12, 2020","Las Vegas, Nevada, USA",Mackenzie Dern,27.0,162.6,52.2,160.0,0,82,174,101,195,0,5,0,0,154,,,,,,,,,,,,,Virna Jandiroba,32.0,160.0,52.2,162.6,0,63,134,80,152,1,1,0,0,164,,,,,,,,,,,,
Kevin Holland,KO/TKO,3,1,105,105,Middleweight,False,Mark Smith,"December 12, 2020","Las Vegas, Nevada, USA",Kevin Holland,28.0,190.5,83.9,205.7,0,15,18,21,24,0,0,0,0,2,,,,,,,,,,,,,Jacare Souza,41.0,185.4,83.9,182.9,0,2,2,2,2,2,3,0,0,87,,,,,,,,,,,,
Ciryl Gane,KO/TKO,3,2,154,454,Heavyweight,False,Jerin Valel,"December 12, 2020","Las Vegas, Nevada, USA",Junior Dos Santos,36.0,193.0,108.0,195.6,0,10,35,11,36,0,1,0,0,0,,,,,,,,,,,,,Ciryl Gane,30.0,193.0,111.1,205.7,1,59,80,61,82,0,0,0,0,25,,,,,,,,,,,,
Cub Swanson,KO/TKO,3,2,112,412,Featherweight,False,Mark Smith,"December 12, 2020","Las Vegas, Nevada, USA",Cub Swanson,37.0,172.7,65.8,177.8,2,46,66,51,71,1,1,0,0,94,,,,,,,,,,,,,Daniel Pineda,35.0,170.2,65.8,175.3,0,21,45,40,65,1,2,1,0,35,,,,,,,,,,,,
Rafael Fiziev,KO/TKO,3,1,245,245,Lightweight,False,Chris Tognoni,"December 12, 2020","Las Vegas, Nevada, USA",Renato Moicano,31.0,180.3,70.3,182.9,0,15,37,15,37,0,1,0,0,0,,,,,,,,,,,,,Rafael Fiziev,27.0,172.7,70.3,180.3,1,21,35,21,35,0,1,0,0,4,,,,,,,,,,,,
Gavin Tucker,Decision - Unanimous,3,3,300,900,Featherweight,False,Jerin Valel,"December 12, 2020","Las Vegas, Nevada, USA",Gavin Tucker,34.0,167.6,65.8,167.6,0,106,166,123,183,7,13,0,0,314,,,,,,,,,,,,,Billy Quarantillo,32.0,177.8,65.8,177.8,0,84,178,136,233,0,3,0,0,25,,,,,,,,,,,,
Tecia Torres,KO/TKO,3,1,300,300,Women's Strawweight,False,Jason Herzog,"December 12, 2020","Las Vegas, Nevada, USA",Tecia Torres,31.0,154.9,52.2,152.4,0,52,103,52,103,1,1,0,0,15,,,,,,,,,,,,,Sam Hughes,28.0,165.1,52.2,162.6,0,20,53,26,59,0,1,0,0,51,,,,,,,,,,,,
Chase Hooper,Submission,3,3,182,782,Featherweight,False,Chris Tognoni,"December 12, 2020","Las Vegas, Nevada, USA",Chase Hooper,21.0,185.4,65.8,188.0,0,57,117,81,144,0,6,2,0,44,,,,,,,,,,,,,Peter Barrett,34.0,177.8,65.8,185.4,0,48,87,61,100,0,0,0,0,65,,,,,,,,,,,,
Marvin Vettori,Decision - Unanimous,5,5,300,1500,Middleweight,False,Herb Dean,"December 05, 2020","Las Vegas, Nevada, USA",Jack Hermansson,32.0,185.4,83.9,195.6,0,122,346,139,365,2,7,0,0,28,,,,,,,,,,,,,Marvin Vettori,27.0,182.9,83.9,188.0,1,164,334,202,376,0,1,1,1,347,,,,,,,,,,,,
Jamahal Hill,KO/TKO,3,2,217,517,Light Heavyweight,False,Jason Herzog,"December 05, 2020","Las Vegas, Nevada, USA",Ovince Saint Preux,37.0,190.5,93.0,203.2,0,36,72,37,73,0,0,0,0,0,,,,,,,,,,,,,Jamahal Hill,29.0,193.0,93.0,200.7,0,68,128,68,128,0,0,0,0,15,,,,,,,,,,,,
Gabriel Benitez,KO/TKO,3,1,246,246,Lightweight,False,,"December 05, 2020","Las Vegas, Nevada, USA",Gabriel Benitez,32.0,172.7,70.3,180.3,1,38,104,38,104,0,0,0,0,0,,,,,,,,,,,,,Justin Jaynes,31.0,170.2,70.3,172.7,0,22,52,22,52,0,0,0,0,0,,,,,,,,,,,,
Roman Dolidze,Decision - Split,3,3,300,900,Light Heavyweight,False,Herb Dean,"December 05, 2020","Las Vegas, Nevada, USA",Roman Dolidze,32.0,188.0,93.0,193.0,0,51,109,118,205,3,5,3,0,436,,,,,,,,,,,,,John Allan,27.0,185.4,93.0,190.5,0,29,86,48,117,1,1,0,0,15,,,,,,,,,,,,
Jordan Leavitt,KO/TKO,3,1,22,22,Lightweight,False,Chris Tognoni,"December 05, 2020","Las Vegas, Nevada, USA",Matt Wiman,37.0,177.8,70.3,172.7,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,Jordan Leavitt,25.0,175.3,70.3,180.3,0,1,1,1,1,1,2,0,0,0,,,,,,,,,,,,
Louis Smolka,KO/TKO,3,2,135,435,Bantamweight,False,Jason Herzog,"December 05, 2020","Las Vegas, Nevada, USA",Louis Smolka,29.0,175.3,61.2,172.7,0,59,116,64,128,3,4,0,0,69,,,,,,,,,,,,,Jose Quinonez,30.0,172.7,61.2,175.3,0,43,107,47,113,2,3,0,0,31,,,,,,,,,,,,
Ilia Topuria,KO/TKO,3,1,158,158,Featherweight,False,Mark Smith,"December 05, 2020","Las Vegas, Nevada, USA",Ilia Topuria,23.0,170.2,65.8,175.3,1,31,63,31,64,0,0,0,0,3,,,,,,,,,,,,,Damon Jackson,32.0,180.3,65.8,180.3,0,16,52,16,53,0,0,0,0,13,,,,,,,,,,,,
Jake Collier,Decision - Unanimous,3,3,300,900,Heavyweight,False,Chris Tognoni,"December 05, 2020","Las Vegas, Nevada, USA",Gian Villante,35.0,190.5,104.3,193.0,0,80,197,81,198,0,0,0,0,0,,,,,,,,,,,,,Jake Collier,32.0,190.5,104.3,198.1,0,123,272,126,277,0,0,0,0,2,,,,,,,,,,,,
Anthony Smith,Submission,5,1,154,154,Light Heavyweight,False,Herb Dean,"November 28, 2020","Las Vegas, Nevada, USA",Anthony Smith,32.0,193.0,93.0,193.0,0,1,4,4,8,1,1,1,0,78,,,,,,,,,,,,,Devin Clark,30.0,182.9,93.0,190.5,0,1,3,27,30,0,0,0,1,67,,,,,,,,,,,,
Miguel Baeza,Submission,3,2,268,568,Welterweight,False,Dan Miragliotta,"November 28, 2020","Las Vegas, Nevada, USA",Miguel Baeza,28.0,188.0,77.1,188.0,0,40,73,43,82,1,2,1,0,69,,,,,,,,,,,,,Takashi Sato,30.0,177.8,77.1,185.4,0,15,58,15,58,0,0,0,0,2,,,,,,,,,,,,
Parker Porter,Decision - Unanimous,3,3,300,900,Heavyweight,False,Mark Smith,"November 28, 2020","Las Vegas, Nevada, USA",Josh Parisian,31.0,193.0,120.2,200.7,0,114,226,123,237,0,0,0,0,28,,,,,,,,,,,,,Parker Porter,35.0,182.9,120.2,190.5,0,126,228,164,275,2,4,1,0,267,,,,,,,,,,,,
Bill Algeo,Decision - Unanimous,3,3,300,900,Featherweight,False,Herb Dean,"November 28, 2020","Las Vegas, Nevada, USA",Spike Carlyle,27.0,172.7,65.8,180.3,0,23,53,28,65,4,13,1,1,258,,,,,,,,,,,,,Bill Algeo,31.0,182.9,65.8,185.4,0,70,95,118,150,1,3,0,1,256,,,,,,,,,,,,
Norma Dumont,Decision - Unanimous,3,3,300,900,Women's Bantamweight,False,Jason Herzog,"November 28, 2020","Las Vegas, Nevada, USA",Ashlee Evans-Smith,33.0,172.7,61.2,170.2,0,42,164,47,169,0,2,0,0,10,,,,,,,,,,,,,Norma Dumont,30.0,170.2,61.2,170.2,1,94,161,109,178,2,4,0,1,241,,,,,,,,,,,,
Jonathan Pearce,KO/TKO,3,2,268,568,Featherweight,False,Dan Miragliotta,"November 28, 2020","Las Vegas, Nevada, USA",Jonathan Pearce,28.0,182.9,65.8,180.3,0,51,100,113,172,5,7,1,0,206,,,,,,,,,,,,,Kai Kamaka,25.0,170.2,65.8,175.3,0,47,83,48,84,1,3,1,1,33,,,,,,,,,,,,
Anderson Dos Santos,Submission,3,1,275,275,Bantamweight,False,Herb Dean,"November 28, 2020","Las Vegas, Nevada, USA",Martin Day,32.0,177.8,61.2,185.4,0,9,12,16,19,1,1,0,0,15,,,,,,,,,,,,,Anderson Dos Santos,35.0,165.1,61.2,177.8,0,11,20,22,31,1,6,1,0,177,,,,,,,,,,,,
Gina Mazany,KO/TKO,3,3,250,850,Women's Flyweight,False,Mark Smith,"November 28, 2020","Las Vegas, Nevada, USA",Gina Mazany,32.0,167.6,56.7,172.7,1,72,162,106,216,7,12,1,0,413,,,,,,,,,,,,,Rachael Ostovich,29.0,160.0,56.7,157.5,0,41,95,49,106,0,1,0,1,11,,,,,,,,,,,,
Su Mudaerji,KO/TKO,3,1,44,44,Flyweight,False,Dan Miragliotta,"November 28, 2020","Las Vegas, Nevada, USA",Su Mudaerji,24.0,172.7,56.7,182.9,1,9,18,9,18,0,0,0,0,2,,,,,,,,,,,,,Malcolm Gordon,30.0,170.2,56.7,180.3,0,0,6,0,6,0,0,0,0,0,,,,,,,,,,,,
Nate Maness,Submission,3,2,149,449,Catch Weight,False,Jason Herzog,"November 28, 2020","Las Vegas, Nevada, USA",Luke Sanders,34.0,167.6,61.2,170.2,0,55,112,63,120,0,1,0,0,40,,,,,,,,,,,,,Nate Maness,29.0,177.8,61.2,182.9,1,33,70,38,75,1,2,1,0,30,,,,,,,,,,,,
Deiveson Figueiredo,Submission,5,1,117,117,Flyweight,True,Marc Goddard,"November 21, 2020","Las Vegas, Nevada, USA",Deiveson Figueiredo,32.0,165.1,56.7,172.7,0,5,8,5,8,0,0,1,0,0,,,,,,,,,,,,,Alex Perez,28.0,167.6,56.7,165.1,0,6,14,6,14,0,2,0,0,37,,,,,,,,,,,,
Valentina Shevchenko,Decision - Unanimous,5,5,300,1500,Women's Flyweight,True,Herb Dean,"November 21, 2020","Las Vegas, Nevada, USA",Valentina Shevchenko,32.0,165.1,56.7,167.6,0,62,119,249,317,5,6,0,0,574,,,,,,,,,,,,,Jennifer Maia,32.0,162.6,56.7,162.6,0,36,88,94,152,1,2,0,0,471,,,,,,,,,,,,
Tim Means,Decision - Unanimous,3,3,300,900,Welterweight,False,Marc Goddard,"November 21, 2020","Las Vegas, Nevada, USA",Mike Perry,29.0,177.8,77.1,180.3,0,64,161,69,166,1,5,2,0,188,,,,,,,,,,,,,Tim Means,36.0,188.0,77.1,190.5,0,128,192,143,207,0,1,0,1,39,,,,,,,,,,,,
Katlyn Chookagian,Decision - Unanimous,3,3,300,900,Women's Flyweight,False,Mark Smith,"November 21, 2020","Las Vegas, Nevada, USA",Katlyn Chookagian,31.0,175.3,56.7,172.7,0,69,230,69,230,0,1,0,0,2,,,,,,,,,,,,,Cynthia Calvillo,33.0,162.6,56.7,162.6,0,60,197,60,197,1,4,0,0,0,,,,,,,,,,,,
Paul Craig,KO/TKO,3,2,216,516,Light Heavyweight,False,Herb Dean,"November 21, 2020","Las Vegas, Nevada, USA",Mauricio Rua,38.0,185.4,93.0,193.0,0,10,28,25,46,0,0,0,0,104,,,,,,,,,,,,,Paul Craig,32.0,190.5,93.0,193.0,0,29,57,54,88,4,8,0,1,226,,,,,,,,,,,,
Brandon Moreno,KO/TKO,3,1,299,299,Flyweight,False,Marc Goddard,"November 21, 2020","Las Vegas, Nevada, USA",Brandon Moreno,26.0,170.2,56.7,177.8,0,16,34,53,73,2,2,2,0,181,,,,,,,,,,,,,Brandon Royval,28.0,175.3,56.7,172.7,0,17,52,24,62,0,0,0,0,0,,,,,,,,,,,,
Joaquin Buckley,KO/TKO,3,2,18,318,Middleweight,False,Herb Dean,"November 21, 2020","Las Vegas, Nevada, USA",Joaquin Buckley,26.0,177.8,83.9,193.0,2,43,80,59,96,0,2,0,0,109,,,,,,,,,,,,,Jordan Wright,29.0,188.0,93.0,195.6,0,18,47,36,66,0,1,0,0,2,,,,,,,,,,,,
Antonina Shevchenko,KO/TKO,3,2,273,573,Women's Flyweight,False,Chris Tognoni,"November 21, 2020","Las Vegas, Nevada, USA",Antonina Shevchenko,36.0,172.7,56.7,170.2,0,39,57,94,128,1,3,0,0,459,,,,,,,,,,,,,Ariane Lipski,26.0,167.6,56.7,170.2,0,15,26,25,36,0,3,0,0,28,,,,,,,,,,,,
Nicolas Dalby,Decision - Unanimous,3,3,300,900,Welterweight,False,Mark Smith,"November 21, 2020","Las Vegas, Nevada, USA",Daniel Rodriguez,33.0,185.4,77.1,188.0,0,83,199,105,222,0,2,0,0,41,,,,,,,,,,,,,Nicolas Dalby,36.0,180.3,77.1,188.0,0,50,147,58,155,0,7,0,0,88,,,,,,,,,,,,
Alan Jouban,Decision - Unanimous,3,3,300,900,Welterweight,False,Chris Tognoni,"November 21, 2020","Las Vegas, Nevada, USA",Alan Jouban,38.0,182.9,77.1,185.4,0,168,331,169,332,0,1,2,1,10,,,,,,,,,,,,,Jared Gooden,26.0,182.9,77.1,195.6,0,100,210,101,211,1,1,0,0,66,,,,,,,,,,,,
Kyle Daukaus,Decision - Unanimous,3,3,300,900,Middleweight,False,Mark Smith,"November 21, 2020","Las Vegas, Nevada, USA",Kyle Daukaus,27.0,190.5,83.9,193.0,0,64,122,113,183,2,7,1,0,520,,,,,,,,,,,,,Dustin Stoltzfus,29.0,182.9,83.9,190.5,0,32,63,95,130,0,7,0,1,121,,,,,,,,,,,,
Sasha Palatnikov,KO/TKO,3,3,167,767,Welterweight,False,Chris Tognoni,"November 21, 2020","Las Vegas, Nevada, USA",Louis Cosce,25.0,175.3,77.1,180.3,1,99,206,115,224,1,9,0,0,53,,,,,,,,,,,,,Sasha Palatnikov,31.0,185.4,77.1,182.9,0,125,237,160,275,1,1,0,0,196,,,,,,,,,,,,
Rafael Dos Anjos,Decision - Split,5,5,300,1500,Lightweight,False,Herb Dean,"November 14, 2020","Las Vegas, Nevada, USA",Paul Felder,36.0,180.3,70.3,177.8,0,98,190,134,226,1,2,0,0,100,,,,,,,,,,,,,Rafael Dos Anjos,36.0,172.7,70.3,177.8,0,92,162,155,231,6,22,0,0,855,,,,,,,,,,,,
Khaos Williams,KO/TKO,3,1,30,30,Welterweight,False,Mark Smith,"November 14, 2020","Las Vegas, Nevada, USA",Abdul Razak Alhassan,35.0,177.8,77.1,185.4,0,2,2,2,2,0,0,0,0,0,,,,,,,,,,,,,Khaos Williams,26.0,182.9,77.1,195.6,1,5,10,5,10,0,0,0,0,0,,,,,,,,,,,,
Ashley Yoder,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Jason Herzog,"November 14, 2020","Las Vegas, Nevada, USA",Ashley Yoder,33.0,170.2,52.2,175.3,0,26,42,151,184,2,4,3,0,499,,,,,,,,,,,,,Miranda Granger,28.0,170.2,56.7,172.7,0,33,51,87,107,0,0,0,1,196,,,,,,,,,,,,
Sean Strickland,KO/TKO,3,2,92,392,Catch Weight,False,Herb Dean,"November 14, 2020","Las Vegas, Nevada, USA",Brendan Allen,24.0,188.0,83.9,190.5,0,51,90,53,92,0,0,0,0,0,,,,,,,,,,,,,Sean Strickland,29.0,185.4,83.9,193.0,1,94,161,106,176,1,1,0,0,94,,,,,,,,,,,,
Cory McKenna,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Jason Herzog,"November 14, 2020","Las Vegas, Nevada, USA",Kay Hansen,21.0,157.5,52.2,160.0,0,67,110,87,131,2,5,2,0,322,,,,,,,,,,,,,Cory McKenna,21.0,160.0,52.2,147.3,0,57,137,156,246,0,1,0,1,185,,,,,,,,,,,,
Kanako Murata,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Mark Smith,"November 14, 2020","Las Vegas, Nevada, USA",Randa Markos,35.0,162.6,52.2,160.0,0,29,61,37,69,0,0,0,0,0,,,,,,,,,,,,,Kanako Murata,27.0,154.9,52.2,157.5,0,29,43,79,95,4,9,2,0,561,,,,,,,,,,,,
Tony Gravely,Decision - Split,3,3,300,900,Bantamweight,False,Chris Tognoni,"November 14, 2020","Las Vegas, Nevada, USA",Geraldo de Freitas,29.0,170.2,61.2,182.9,0,76,128,108,165,1,4,0,0,2,,,,,,,,,,,,,Tony Gravely,29.0,165.1,61.2,175.3,0,49,101,86,144,7,17,0,0,595,,,,,,,,,,,,
Alex Morono,Decision - Unanimous,3,3,300,900,Welterweight,False,Jason Herzog,"November 14, 2020","Las Vegas, Nevada, USA",Alex Morono,30.0,180.3,77.1,182.9,0,176,321,208,360,3,3,0,0,154,,,,,,,,,,,,,Rhys McKee,25.0,188.0,77.1,198.1,0,124,230,133,242,0,3,0,0,12,,,,,,,,,,,,
Don'Tale Mayes,Decision - Unanimous,3,3,300,900,Heavyweight,False,Chris Tognoni,"November 14, 2020","Las Vegas, Nevada, USA",Don'Tale Mayes,28.0,198.1,117.9,205.7,0,59,135,80,158,1,2,0,0,147,,,,,,,,,,,,,Roque Martinez,34.0,177.8,113.4,182.9,0,58,111,96,152,1,2,0,0,172,,,,,,,,,,,,
Glover Teixeira,Submission,5,3,109,709,Light Heavyweight,False,Herb Dean,"November 07, 2020","Las Vegas, Nevada, USA",Thiago Santos,36.0,188.0,93.0,193.0,1,40,64,81,109,0,0,0,0,78,,,,,,,,,,,,,Glover Teixeira,41.0,188.0,93.0,193.0,0,46,63,148,180,4,7,2,0,543,,,,,,,,,,,,
Andrei Arlovski,Decision - Unanimous,3,3,300,900,Heavyweight,False,Mark Smith,"November 07, 2020","Las Vegas, Nevada, USA",Andrei Arlovski,41.0,190.5,108.9,195.6,0,34,82,34,82,0,0,0,0,0,,,,,,,,,,,,,Tanner Boser,29.0,188.0,115.7,190.5,0,68,119,68,119,0,0,0,0,0,,,,,,,,,,,,
Raoni Barcelos,Decision - Unanimous,3,3,300,900,Bantamweight,False,Jason Herzog,"November 07, 2020","Las Vegas, Nevada, USA",Raoni Barcelos,33.0,170.2,61.2,170.2,0,120,207,129,219,2,4,1,0,195,,,,,,,,,,,,,Khalid Taha,28.0,165.1,61.2,175.3,0,49,202,68,222,0,1,0,1,87,,,,,,,,,,,,
Giga Chikadze,KO/TKO,3,1,231,231,Featherweight,False,Herb Dean,"November 07, 2020","Las Vegas, Nevada, USA",Giga Chikadze,32.0,182.9,65.8,188.0,1,8,16,8,16,0,1,0,0,9,,,,,,,,,,,,,Jamey Simmons,28.0,167.6,65.8,177.8,0,2,4,4,6,0,3,0,0,44,,,,,,,,,,,,
Yan Xiaonan,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Jason Herzog,"November 07, 2020","Las Vegas, Nevada, USA",Claudia Gadelha,31.0,162.6,52.2,160.0,0,36,96,84,149,2,10,0,0,406,,,,,,,,,,,,,Yan Xiaonan,31.0,165.1,52.2,160.0,0,74,170,133,234,0,0,0,0,19,,,,,,,,,,,,
Trevin Giles,KO/TKO,3,3,86,686,Middleweight,False,Mark Smith,"November 07, 2020","Las Vegas, Nevada, USA",Trevin Giles,28.0,182.9,83.9,188.0,2,38,59,51,73,1,2,0,0,153,,,,,,,,,,,,,Bevon Lewis,29.0,190.5,83.9,200.7,0,26,75,60,113,0,6,0,0,95,,,,,,,,,,,,
Alexandr Romanov,Submission,3,1,288,288,Heavyweight,False,Herb Dean,"November 07, 2020","Las Vegas, Nevada, USA",Alexandr Romanov,29.0,188.0,118.8,190.5,0,6,7,10,12,2,5,1,0,231,,,,,,,,,,,,,Marcos Rogerio de Lima,35.0,185.4,114.8,190.5,0,18,29,27,39,0,0,0,0,0,,,,,,,,,,,,
Darren Elkins,Submission,3,3,142,742,Featherweight,False,Chris Tognoni,"November 07, 2020","Las Vegas, Nevada, USA",Darren Elkins,36.0,177.8,65.8,180.3,0,32,72,120,168,7,21,1,0,454,,,,,,,,,,,,,Eduardo Garagorri,31.0,175.3,65.8,177.8,0,36,78,48,90,0,0,0,0,10,,,,,,,,,,,,
Max Griffin,KO/TKO,3,3,123,723,Welterweight,False,Mark Smith,"November 07, 2020","Las Vegas, Nevada, USA",Max Griffin,34.0,180.3,77.1,193.0,0,74,167,82,175,0,1,0,0,32,,,,,,,,,,,,,Ramiz Brahimaj,27.0,177.8,77.1,182.9,0,45,123,46,124,0,0,0,0,13,,,,,,,,,,,,
Gustavo Lopez,Submission,3,1,163,163,Bantamweight,False,Chris Tognoni,"November 07, 2020","Las Vegas, Nevada, USA",Gustavo Lopez,31.0,165.1,61.2,170.2,0,26,43,33,50,2,3,1,0,66,,,,,,,,,,,,,Anthony Birchak,34.0,172.7,61.2,175.3,0,17,40,18,41,0,0,0,0,0,,,,,,,,,,,,
Uriah Hall,KO/TKO,5,4,84,984,Middleweight,False,Herb Dean,"October 31, 2020","Las Vegas, Nevada, USA",Uriah Hall,36.0,182.9,83.9,200.7,2,60,111,61,112,0,0,0,0,15,,,,,,,,,,,,,Anderson Silva,45.0,188.0,83.9,195.6,0,53,110,57,114,0,0,0,0,31,,,,,,,,,,,,
Bryce Mitchell,Decision - Unanimous,3,3,300,900,Featherweight,False,Keith Peterson,"October 31, 2020","Las Vegas, Nevada, USA",Bryce Mitchell,26.0,177.8,65.8,177.8,0,46,69,100,135,7,13,1,0,612,,,,,,,,,,,,,Andre Fili,30.0,180.3,65.8,188.0,0,27,72,51,97,0,0,0,2,34,,,,,,,,,,,,
Greg Hardy,KO/TKO,3,2,72,372,Heavyweight,False,Herb Dean,"October 31, 2020","Las Vegas, Nevada, USA",Maurice Greene,34.0,200.7,117.0,203.2,0,17,37,17,37,0,0,0,0,0,,,,,,,,,,,,,Greg Hardy,32.0,195.6,120.2,203.2,1,46,74,56,85,1,1,0,0,152,,,,,,,,,,,,
Kevin Holland,Submission,3,1,159,159,Middleweight,False,Mark Smith,"October 31, 2020","Las Vegas, Nevada, USA",Kevin Holland,27.0,190.5,83.9,205.7,0,11,12,33,34,2,2,0,0,133,,,,,,,,,,,,,Charlie Ontiveros,29.0,188.0,83.9,198.1,0,2,2,2,2,0,0,0,0,0,,,,,,,,,,,,
