WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
Phil Baroni,KO/TKO,3,1,179,179,Middleweight,False,John McCarthy,"May 10, 2002","Bossier City, Louisiana, USA",Phil Baroni,26.0,175.3,77.1,182.9,0,11,23,19,33,0,2,0,0,51,,,,,,,,,,,,,Amar Suloev,25.0,175.3,83.0,,0,9,15,9,15,1,1,1,0,3,,,,,,,,,,,,
Caol Uno,Decision - Unanimous,3,3,300,900,Lightweight,False,Larry Landless,"May 10, 2002","Bossier City, Louisiana, USA",Caol Uno,27.0,170.2,70.3,177.8,0,19,32,58,81,3,6,1,2,408,,,,,,,,,,,,,Yves Edwards,25.0,175.3,70.3,185.4,0,13,23,30,42,1,1,1,0,230,,,,,,,,,,,,
Ivan Salaverry,KO/TKO,3,3,147,747,Middleweight,False,Mason White,"May 10, 2002","Bossier City, Louisiana, USA",Ivan Salaverry,31.0,182.9,83.9,,0,43,72,156,190,2,2,8,0,355,,,,,,,,,,,,,Andrei Semenov,24.0,182.9,83.9,,0,5,46,5,46,1,2,1,0,105,,,,,,,,,,,,
Robbie Lawler,Decision - Unanimous,3,3,300,900,Welterweight,False,John McCarthy,"May 10, 2002","Bossier City, Louisiana, USA",Robbie Lawler,20.0,180.3,77.1,188.0,1,64,153,87,176,6,8,0,0,269,,,,,,,,,,,,,Aaron Riley,21.0,172.7,70.3,175.3,0,55,130,93,170,0,3,1,0,86,,,,,,,,,,,,
Josh Barnett,KO/TKO,5,2,275,575,Heavyweight,True,John McCarthy,"March 22, 2002","Las Vegas, Nevada, USA",Josh Barnett,24.0,190.5,113.4,198.1,0,44,75,53,85,0,0,1,0,115,,,,,,,,,,,,,Randy Couture,38.0,185.4,93.0,190.5,0,18,21,33,37,1,3,0,0,438,,,,,,,,,,,,
Pedro Rizzo,KO/TKO,3,3,105,705,Heavyweight,False,Larry Landless,"March 22, 2002","Las Vegas, Nevada, USA",Pedro Rizzo,27.0,185.4,109.3,,1,27,80,27,80,0,0,0,0,0,,,,,,,,,,,,,Andrei Arlovski,23.0,190.5,108.9,195.6,0,38,95,38,95,0,0,0,0,0,,,,,,,,,,,,
Matt Hughes,KO/TKO,5,4,181,1081,Welterweight,True,John McCarthy,"March 22, 2002","Las Vegas, Nevada, USA",Matt Hughes,28.0,175.3,77.1,185.4,0,36,58,112,137,9,11,0,0,952,,,,,,,,,,,,,Hayato Sakurai,26.0,170.2,76.2,,1,5,12,14,22,0,0,0,0,0,,,,,,,,,,,,
Matt Lindland,KO/TKO,3,1,189,189,Middleweight,False,Larry Landless,"March 22, 2002","Las Vegas, Nevada, USA",Matt Lindland,31.0,182.9,83.9,188.0,0,20,40,62,85,1,1,0,0,170,,,,,,,,,,,,,Pat Miletich,34.0,177.8,77.1,,0,1,2,1,2,0,0,0,0,0,,,,,,,,,,,,
Evan Tanner,KO/TKO,3,1,126,126,Light Heavyweight,False,Mason White,"March 22, 2002","Las Vegas, Nevada, USA",Evan Tanner,31.0,182.9,83.9,188.0,0,7,13,12,18,0,0,0,0,103,,,,,,,,,,,,,Elvis Sinosic,31.0,190.5,93.0,195.6,0,4,8,7,11,0,0,0,0,0,,,,,,,,,,,,
Frank Mir,Submission,3,1,46,46,Heavyweight,False,John McCarthy,"March 22, 2002","Las Vegas, Nevada, USA",Frank Mir,22.0,190.5,119.7,200.7,0,4,6,4,6,0,0,1,0,2,,,,,,,,,,,,,Pete Williams,26.0,190.5,106.6,,0,0,1,0,1,1,1,0,0,19,,,,,,,,,,,,
Matt Serra,Submission,3,1,178,178,Lightweight,False,Larry Landless,"March 22, 2002","Las Vegas, Nevada, USA",Matt Serra,27.0,167.6,77.1,172.7,0,2,8,14,20,1,3,3,0,142,,,,,,,,,,,,,Kelly Dullanty,24.0,172.7,70.3,,0,0,1,17,21,0,0,0,0,11,,,,,,,,,,,,
Sean Sherk,Decision - Unanimous,3,3,300,900,Welterweight,False,Mason White,"March 22, 2002","Las Vegas, Nevada, USA",Sean Sherk,28.0,167.6,70.3,170.2,0,21,30,227,241,7,14,0,0,730,,,,,,,,,,,,,Jutaro Nakao,31.0,175.3,77.1,,0,4,20,8,24,0,0,0,0,2,,,,,,,,,,,,
Jens Pulver,Decision - Majority,5,5,300,1500,Lightweight,True,John McCarthy,"January 11, 2002","Uncasville, Connecticut, USA",Jens Pulver,27.0,170.2,65.8,177.8,0,38,98,122,186,1,1,0,4,501,,,,,,,,,,,,,BJ Penn,23.0,175.3,70.3,177.8,0,49,93,161,210,7,10,2,0,384,,,,,,,,,,,,
Ricco Rodriguez,KO/TKO,3,3,180,780,Heavyweight,False,Larry Landless,"January 11, 2002","Uncasville, Connecticut, USA",Ricco Rodriguez,24.0,193.0,120.2,,0,42,65,100,126,3,4,1,0,400,,,,,,,,,,,,,Jeff Monson,30.0,175.3,112.0,188.0,0,7,20,45,60,2,6,0,0,236,,,,,,,,,,,,
Murilo Bustamante,KO/TKO,5,2,44,344,Middleweight,True,John McCarthy,"January 11, 2002","Uncasville, Connecticut, USA",Murilo Bustamante,35.0,188.0,83.0,,1,9,12,14,17,2,7,0,0,187,,,,,,,,,,,,,Dave Menne,27.0,177.8,77.1,,0,14,33,23,42,0,0,0,0,0,,,,,,,,,,,,
