WINNER,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,TITLE_BOUT,DECISION_MAJORITY,DECISION_SPLIT,DECISION_UNANIMOUS,KO/TKO,SUBMISSION,BANTAMWEIGHT,CATCH WEIGHT,FEATHERWEIGHT,FLYWEIGHT,HEAVYWEIGHT,LIGHT HEAVYWEIGHT,LIGHTWEIGHT,MIDDLEWEIGHT,WELTERWEIGHT,WOMEN'S BANTAMWEIGHT,WOMEN'S FEATHERWEIGHT,WOMEN'S FLYWEIGHT,WOMEN'S STRAWWEIGHT,REFEREE,DATE,LOCATION,R_ODDS,B_ODDS,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_STYLE,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_HEAD,R_HEAD_ATT,R_BODY,R_BODY_ATT,R_LEG,R_LEG_ATT,R_DISTANCE,R_DISTANCE_ATT,R_CLINCH,R_CLINCH_ATT,R_GROUND,R_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_STYLE,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_HEAD,B_HEAD_ATT,B_BODY,B_BODY_ATT,B_LEG,B_LEG_ATT,B_DISTANCE,B_DISTANCE_ATT,B_CLINCH,B_CLINCH_ATT,B_GROUND,B_GROUND_ATT
Jose Quinonez,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"February 10, 2018","Perth, Western Australia, Australia",2.35,1.65,Teruto Ishihara,26.0,170.2,61.2,175.3,0,1,33,109,35,111,1,4,0,0,25,8,77,6,12,19,20,29,102,4,7,0,0,Jose Quinonez,27.0,172.7,61.2,175.3,0,0,49,98,54,103,2,7,0,0,201,16,59,6,8,27,31,42,89,7,9,0,0
Luke Jumeau,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mark Simpson,"February 10, 2018","Perth, Western Australia, Australia",2.4,1.62,Luke Jumeau,29.0,180.3,77.1,182.9,0,0,63,130,64,131,1,1,0,0,13,35,93,11,20,17,17,58,118,2,7,3,5,Daichi Abe,26.0,180.3,77.1,180.3,0,0,63,171,65,176,0,1,0,0,17,43,144,7,14,13,13,47,145,8,14,8,12
Lyoto Machida,5,5,300,1500,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"February 03, 2018","Belem, Para, Brazil",3.05,1.41,Lyoto Machida,39.0,185.4,83.9,188.0,4,0,62,112,66,116,0,0,0,0,137,18,57,23,31,21,24,49,94,6,7,7,11,Eryk Anders,30.0,185.4,83.9,190.5,0,0,32,77,46,94,3,11,0,0,227,18,63,13,13,1,1,19,60,12,15,1,2
Valentina Shevchenko,3,2,265,565,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mario Yamasaki,"February 03, 2018","Belem, Para, Brazil",1.09,8.0,Valentina Shevchenko,29.0,165.1,56.7,167.6,0,0,95,113,230,254,2,2,2,0,512,87,103,8,9,0,1,11,20,0,0,84,93,Priscila Cachoeira,29.0,170.2,61.2,165.1,0,0,2,12,3,13,0,0,0,0,0,2,12,0,0,0,0,2,12,0,0,0,0
Michel Prazeres,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"February 03, 2018","Belem, Para, Brazil",1.83,2.0,Michel Prazeres,36.0,167.6,77.1,170.2,4,0,36,72,70,106,3,8,3,0,235,22,52,8,14,6,6,17,51,6,7,13,14,Desmond Green,28.0,177.8,70.3,185.4,0,0,33,61,50,79,3,6,0,0,165,9,36,15,15,9,10,20,45,13,16,0,0
Timothy Johnson,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osiris Maia,"February 03, 2018","Belem, Para, Brazil",2.5,1.59,Timothy Johnson,32.0,190.5,120.2,195.6,0,0,77,146,139,217,0,6,0,0,348,42,102,25,32,10,12,23,80,54,66,0,0,Marcelo Golm,25.0,190.5,112.9,190.5,0,0,59,87,89,119,0,0,0,0,64,40,67,13,14,6,6,27,51,32,36,0,0
Douglas Silva de Andrade,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Camila Albuquerque,"February 03, 2018","Belem, Para, Brazil",2.65,1.53,Douglas Silva de Andrade,32.0,170.2,65.8,172.7,0,0,97,232,99,234,1,3,0,0,35,55,180,23,31,19,21,92,224,4,6,1,2,Marlon Vera,25.0,172.7,61.2,177.8,0,0,72,191,75,195,0,0,0,0,1,28,138,22,29,22,24,71,187,1,3,0,1
Thiago Santos,3,2,63,363,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"February 03, 2018","Belem, Para, Brazil",1.39,3.15,Thiago Santos,34.0,188.0,93.0,193.0,0,2,58,82,80,106,0,1,0,1,199,33,56,20,21,5,5,13,24,3,4,42,54,Anthony Smith,29.0,193.0,93.0,193.0,0,0,10,22,13,26,1,3,0,0,50,10,22,0,0,0,0,8,20,1,1,1,1
Sergio Moraes,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eduardo Herdy,"February 03, 2018","Belem, Para, Brazil",2.73,1.49,Sergio Moraes,35.0,182.9,77.1,182.9,4,0,87,192,89,195,0,1,0,0,0,70,168,15,22,2,2,87,192,0,0,0,0,Tim Means,33.0,188.0,77.1,190.5,5,1,129,274,136,282,0,0,0,0,82,91,229,22,28,16,17,124,268,1,1,4,5
Alan Patrick,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Yamasaki,"February 03, 2018","Belem, Para, Brazil",1.42,3.0,Alan Patrick,34.0,180.3,70.3,188.0,4,0,28,45,91,129,9,15,0,0,746,20,35,5,7,3,3,8,18,3,4,17,23,Damir Hadzovic,31.0,175.3,70.3,177.8,0,0,20,25,67,81,0,0,1,0,48,5,8,15,17,0,0,6,9,11,12,3,4
Polyana Viana,3,1,230,230,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Camila Albuquerque,"February 03, 2018","Belem, Para, Brazil",4.5,1.23,Maia Stevenson,35.0,162.6,52.2,157.5,4,0,6,11,11,16,1,1,0,0,89,1,6,3,3,2,2,4,9,2,2,0,0,Polyana Viana,25.0,165.1,52.2,170.2,0,0,12,18,25,35,1,2,3,1,106,11,16,1,2,0,0,4,8,1,2,7,8
Iuri Alcantara,3,1,66,66,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osiris Maia,"February 03, 2018","Belem, Para, Brazil",1.83,2.0,Iuri Alcantara,37.0,175.3,61.2,180.3,4,1,17,30,17,30,0,0,0,0,6,13,26,3,3,1,1,8,17,1,2,8,11,Joe Soto,30.0,167.6,61.2,165.1,0,0,1,2,1,2,0,1,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0
Deiveson Figueiredo,3,2,274,574,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eduardo Herdy,"February 03, 2018","Belem, Para, Brazil",2.1,1.77,Deiveson Figueiredo,30.0,165.1,56.7,172.7,1,1,31,62,44,76,2,2,1,0,363,25,51,6,11,0,0,11,27,0,0,20,35,Joseph Morales,23.0,167.6,56.7,175.3,1,0,9,32,11,35,0,1,0,0,0,5,24,2,4,2,4,7,20,0,1,2,11
Jacare Souza,5,1,230,230,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 27, 2018","Charlotte, North Carolina, USA",2.2,1.71,Jacare Souza,38.0,185.4,83.9,182.9,4,1,9,21,9,21,0,1,0,0,4,7,10,2,11,0,0,6,17,1,1,2,3,Derek Brunson,34.0,185.4,83.9,195.6,0,0,8,34,8,34,0,0,0,0,0,5,28,2,4,1,2,8,34,0,0,0,0
Andre Fili,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 27, 2018","Charlotte, North Carolina, USA",1.67,2.3,Dennis Bermudez,31.0,167.6,70.3,167.6,0,0,103,196,133,227,1,11,0,0,191,56,138,12,21,35,37,91,176,12,20,0,0,Andre Fili,27.0,180.3,65.8,188.0,0,0,80,229,93,242,4,12,0,0,50,70,214,5,9,5,6,76,220,4,9,0,0
Gregor Gillespie,3,1,286,286,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Donnie Jessup,"January 27, 2018","Charlotte, North Carolina, USA",5.25,1.18,Jordan Rinaldi,30.0,177.8,65.8,182.9,4,0,7,16,7,16,0,0,0,0,0,5,14,1,1,1,1,7,16,0,0,0,0,Gregor Gillespie,31.0,170.2,70.3,180.3,0,0,34,55,42,63,1,2,0,0,223,31,51,1,2,2,2,5,19,1,1,28,35
Drew Dober,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Joseph Hawes,"January 27, 2018","Charlotte, North Carolina, USA",1.71,2.2,Drew Dober,29.0,172.7,70.3,177.8,5,0,145,322,161,338,0,6,0,0,25,96,262,34,45,15,15,125,293,15,19,5,10,Frank Camacho,28.0,177.8,77.1,185.4,5,0,106,223,148,269,3,3,0,1,184,80,194,26,29,0,0,99,209,6,8,1,6
Bobby Green,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 27, 2018","Charlotte, North Carolina, USA",2.55,1.57,Erik Koch,29.0,177.8,77.1,180.3,4,0,56,146,60,150,1,1,0,1,116,45,129,7,10,4,7,45,129,3,6,8,11,Bobby Green,31.0,177.8,70.3,180.3,5,0,110,194,134,220,1,5,0,1,197,48,116,43,56,19,22,55,128,37,42,18,24
Mirsad Bektic,3,1,167,167,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 27, 2018","Charlotte, North Carolina, USA",1.18,5.25,Mirsad Bektic,26.0,172.7,65.8,177.8,4,1,12,33,12,34,0,0,0,0,4,7,24,1,4,4,5,9,29,0,0,3,4,Godofredo Pepey,30.0,170.2,65.8,185.4,4,0,5,17,5,17,0,0,0,0,0,2,12,2,4,1,1,4,16,1,1,0,0
Katlyn Chookagian,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Donnie Jessup,"January 27, 2018","Charlotte, North Carolina, USA",1.53,2.65,Katlyn Chookagian,29.0,175.3,56.7,172.7,0,0,68,252,71,257,0,1,1,0,0,37,212,22,31,9,9,63,247,5,5,0,0,Mara Romero Borella,31.0,167.6,56.7,175.3,4,0,79,211,80,214,1,3,0,0,35,46,170,3,6,30,35,78,210,1,1,0,0
Randa Markos,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joseph Hawes,"January 27, 2018","Charlotte, North Carolina, USA",1.65,2.35,Randa Markos,32.0,162.6,52.2,160.0,0,0,46,65,114,149,2,7,0,1,552,11,25,10,11,25,29,4,14,29,33,13,18,Juliana Lima,35.0,165.1,52.2,165.1,4,0,18,37,34,56,1,2,0,0,190,5,11,5,11,8,15,6,23,12,14,0,0
Ji Yeon Kim,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Dan Miragliotta,"January 27, 2018","Charlotte, North Carolina, USA",1.62,2.4,Justine Kish,29.0,165.1,56.7,162.6,5,0,96,203,96,203,0,0,0,0,0,43,132,22,31,31,40,93,197,3,6,0,0,Ji Yeon Kim,28.0,170.2,56.7,182.9,5,0,68,215,68,216,0,0,0,0,0,60,201,5,11,3,3,66,210,2,5,0,0
Vinc Pichel,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 27, 2018","Charlotte, North Carolina, USA",2.1,1.77,Vinc Pichel,35.0,177.8,70.3,182.9,0,0,60,186,62,188,1,4,0,0,49,24,135,15,21,21,30,50,174,10,12,0,0,Joaquim Silva,28.0,172.7,70.3,175.3,0,0,45,100,54,109,0,0,0,0,0,30,79,10,15,5,6,44,97,1,3,0,0
Niko Price,3,2,261,561,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Donnie Jessup,"January 27, 2018","Charlotte, North Carolina, USA",1.27,4.05,Niko Price,28.0,182.9,77.1,193.0,5,0,24,47,35,67,2,5,3,1,178,13,34,7,9,4,4,11,27,7,13,6,7,George Sullivan,36.0,182.9,77.1,185.4,0,0,21,61,42,88,1,6,0,0,184,15,53,3,4,3,4,7,37,4,5,10,19
Cory Sandhagen,3,2,228,528,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joseph Hawes,"January 27, 2018","Charlotte, North Carolina, USA",2.7,1.5,Austin Arnett,26.0,182.9,65.8,182.9,5,0,32,90,35,95,1,1,0,0,68,29,84,3,6,0,0,31,84,1,6,0,0,Cory Sandhagen,25.0,180.3,61.2,177.8,5,1,80,147,108,179,1,1,0,1,115,47,104,23,32,10,11,45,90,20,33,15,24
Stipe Miocic,5,5,300,1500,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"January 20, 2018","Boston, Massachusetts, USA",2.5,1.59,Stipe Miocic,35.0,193.0,108.9,203.2,5,0,70,95,200,244,6,14,0,0,905,45,67,9,11,16,17,37,52,5,6,28,37,Francis Ngannou,31.0,193.0,113.4,210.8,4,0,21,113,33,126,0,1,1,0,2,17,106,4,7,0,0,19,105,2,8,0,0
Daniel Cormier,5,2,120,420,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 20, 2018","Boston, Massachusetts, USA",1.29,3.85,Daniel Cormier,38.0,180.3,106.6,182.9,0,0,32,61,84,113,2,3,1,0,103,30,59,1,1,1,1,24,46,3,8,5,7,Volkan Oezdemir,28.0,188.0,93.0,190.5,5,0,38,82,42,86,0,0,0,0,7,23,63,11,15,4,4,33,70,5,12,0,0
Calvin Kattar,3,3,32,632,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 20, 2018","Boston, Massachusetts, USA",2.9,1.43,Calvin Kattar,29.0,180.3,65.8,182.9,5,1,85,194,86,195,0,1,0,0,13,73,174,5,10,7,10,79,182,1,2,5,10,Shane Burgos,26.0,180.3,65.8,190.5,2,0,89,186,91,188,0,0,0,0,0,46,126,25,38,18,22,86,182,3,4,0,0
Gian Villante,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Rita,"January 20, 2018","Boston, Massachusetts, USA",1.65,2.35,Gian Villante,32.0,190.5,104.3,193.0,5,0,74,209,74,209,0,0,0,0,0,57,184,11,17,6,8,74,208,0,1,0,0,Francimar Barroso,37.0,185.4,93.0,190.5,4,0,74,128,74,128,0,0,0,0,0,38,86,18,24,18,18,74,127,0,1,0,0
Rob Font,3,2,144,444,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"January 20, 2018","Boston, Massachusetts, USA",1.69,2.25,Thomas Almeida,26.0,170.2,65.8,177.8,5,0,24,90,24,92,0,0,0,0,4,11,66,2,8,11,16,24,89,0,1,0,0,Rob Font,30.0,172.7,61.2,180.3,5,2,41,132,48,139,1,3,0,0,62,35,120,4,9,2,3,26,111,11,15,4,6
Kyle Bochniak,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 20, 2018","Boston, Massachusetts, USA",2.2,1.71,Kyle Bochniak,30.0,170.2,65.8,177.8,4,0,33,132,35,134,3,15,0,0,230,29,117,4,15,0,0,26,118,7,14,0,0,Brandon Davis,27.0,177.8,61.2,182.9,5,0,38,112,59,133,1,1,0,0,8,19,87,7,11,12,14,35,106,3,6,0,0
Abdul Razak Alhassan,3,1,227,227,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Steve Rita,"January 20, 2018","Boston, Massachusetts, USA",2.68,1.51,Sabah Homasi,29.0,182.9,77.1,182.9,5,0,8,25,9,26,1,2,0,0,64,3,19,5,6,0,0,4,20,4,5,0,0,Abdul Razak Alhassan,32.0,177.8,77.1,185.4,5,1,13,33,20,42,0,0,0,0,2,11,29,0,1,2,3,11,28,2,5,0,0
Dustin Ortiz,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 20, 2018","Boston, Massachusetts, USA",1.74,2.15,Dustin Ortiz,29.0,165.1,56.7,165.1,0,0,36,80,92,147,7,12,0,2,290,19,59,8,10,9,11,21,60,6,8,9,12,Alexandre Pantoja,27.0,165.1,56.7,170.2,0,0,19,49,49,79,1,1,2,2,438,13,41,4,5,2,3,15,44,1,2,3,3
Julio Arce,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"January 20, 2018","Boston, Massachusetts, USA",2.2,1.71,Dan Ige,26.0,170.2,65.8,180.3,0,0,35,113,36,116,1,13,0,0,76,15,78,6,17,14,18,33,102,2,11,0,0,Julio Arce,28.0,170.2,65.8,177.8,0,0,72,201,87,216,0,0,0,0,44,60,184,11,16,1,1,61,184,8,14,3,3
Enrique Barzola,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Rita,"January 20, 2018","Boston, Massachusetts, USA",3.45,1.34,Matt Bessette,33.0,177.8,65.8,177.8,0,0,43,146,55,158,0,0,0,0,0,27,113,15,31,1,2,41,143,2,3,0,0,Enrique Barzola,28.0,170.2,65.8,177.8,0,0,55,122,73,143,5,10,0,0,274,25,83,13,17,17,22,43,98,0,0,12,24
Islam Makhachev,3,1,57,57,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 20, 2018","Boston, Massachusetts, USA",1.34,3.45,Islam Makhachev,26.0,177.8,70.3,177.8,4,1,3,6,3,6,0,0,0,0,1,2,5,1,1,0,0,2,4,0,0,1,2,Gleison Tibau,34.0,177.8,70.3,180.3,4,0,2,4,2,4,0,0,0,0,0,1,2,0,1,1,1,2,4,0,0,0,0
Jeremy Stephens,5,2,156,456,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keith Peterson,"January 14, 2018","St. Louis, Missouri, USA",2.45,1.61,Jeremy Stephens,31.0,175.3,65.8,180.3,0,1,49,133,49,133,0,0,0,0,11,32,111,6,6,11,16,42,124,3,3,4,6,Dooho Choi,26.0,177.8,65.8,177.8,5,0,44,79,45,80,0,0,0,0,4,24,51,3,7,17,21,42,76,2,3,0,0
Jessica-Rose Clark,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mario Yamasaki,"January 14, 2018","St. Louis, Missouri, USA",1.83,2.0,Paige VanZant,23.0,162.6,52.2,165.1,0,0,54,118,96,162,0,2,0,1,153,29,75,18,32,7,11,40,100,2,3,12,15,Jessica-Rose Clark,30.0,165.1,56.7,162.6,5,0,55,98,78,122,2,3,1,1,337,36,71,12,19,7,8,32,67,7,11,16,20
Kamaru Usman,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Keith Peterson,"January 14, 2018","St. Louis, Missouri, USA",1.13,6.25,Kamaru Usman,30.0,182.9,77.1,193.0,5,0,50,66,112,132,8,19,0,0,771,29,44,9,10,12,12,8,15,8,8,34,43,Emil Meek,29.0,180.3,77.1,188.0,4,0,30,67,86,131,0,0,2,0,2,20,54,7,10,3,3,17,48,4,4,9,15
Darren Elkins,3,2,142,442,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 14, 2018","St. Louis, Missouri, USA",2.75,1.48,Darren Elkins,33.0,177.8,65.8,180.3,0,0,18,64,54,108,1,4,1,0,121,13,57,5,7,0,0,17,60,0,2,1,2,Michael Johnson,31.0,177.8,70.3,185.4,0,0,45,98,46,99,0,0,0,0,0,29,74,9,13,7,11,45,97,0,1,0,0
James Krause,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Yamasaki,"January 14, 2018","St. Louis, Missouri, USA",1.56,2.58,James Krause,31.0,188.0,77.1,185.4,5,0,35,67,56,93,3,11,2,1,609,30,60,3,4,2,3,18,43,1,2,16,22,Alex White,29.0,182.9,70.3,180.3,0,0,56,127,97,175,1,1,0,0,53,42,109,14,17,0,1,29,91,12,15,15,21
Marco Polo Reyes,3,1,60,60,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"January 14, 2018","St. Louis, Missouri, USA",1.5,2.85,Matt Frevola,27.0,175.3,70.3,180.3,0,0,9,30,9,30,0,0,0,0,0,5,26,4,4,0,0,8,29,1,1,0,0,Marco Polo Reyes,33.0,180.3,70.3,180.3,5,2,18,39,19,40,0,0,0,0,0,17,38,1,1,0,0,17,36,0,2,1,1
Irene Aldana,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mario Yamasaki,"January 14, 2018","St. Louis, Missouri, USA",2.15,1.74,Talita Bernardo,30.0,162.6,61.2,172.7,0,0,46,87,74,119,1,11,0,1,357,31,69,3,4,12,14,36,72,2,3,8,12,Irene Aldana,29.0,175.3,61.2,172.7,5,0,70,171,148,258,1,2,0,3,86,57,153,10,13,3,5,46,140,3,5,21,26
Kyung Ho Kang,3,1,293,293,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Wasem,"January 14, 2018","St. Louis, Missouri, USA",1.34,3.45,Kyung Ho Kang,30.0,175.3,61.2,185.4,4,0,3,11,28,36,1,2,1,0,38,3,9,0,2,0,0,1,8,1,1,1,2,Guido Cannetti,38.0,167.6,61.2,172.7,0,0,19,39,22,42,1,2,0,0,87,12,29,4,7,3,3,9,29,5,5,5,5
JJ Aldrich,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Keith Peterson,"January 14, 2018","St. Louis, Missouri, USA",2.1,1.77,Danielle Taylor,28.0,152.4,52.2,152.4,4,0,38,136,64,163,0,1,0,0,0,21,107,8,17,9,12,35,129,2,6,1,1,JJ Aldrich,25.0,165.1,56.7,170.2,0,0,54,150,67,164,1,5,0,0,112,47,137,5,10,2,3,48,142,6,7,0,1
Mads Burnell,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Wasem,"January 14, 2018","St. Louis, Missouri, USA",2.65,1.53,Mads Burnell,23.0,172.7,65.8,175.3,4,0,20,34,110,169,3,7,1,1,553,20,34,0,0,0,0,5,15,1,1,14,18,Mike Santiago,28.0,177.8,65.8,175.3,0,0,51,79,95,127,3,3,2,1,271,34,56,11,14,6,9,13,29,22,28,16,22
Cristiane Justino,5,5,300,1500,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Herb Dean,"December 30, 2017","Las Vegas, Nevada, USA",1.31,3.65,Cristiane Justino,32.0,172.7,65.8,172.7,2,0,118,223,131,237,0,0,0,0,44,70,164,29,37,19,22,101,205,17,18,0,0,Holly Holm,36.0,172.7,61.2,175.3,0,0,44,227,48,232,0,0,0,0,204,33,203,8,14,3,10,43,225,1,2,0,0
Khabib Nurmagomedov,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"December 30, 2017","Las Vegas, Nevada, USA",1.24,4.3,Khabib Nurmagomedov,29.0,177.8,70.3,177.8,0,0,89,177,154,246,4,13,0,0,632,77,162,8,11,4,4,32,96,2,3,55,78,Edson Barboza,31.0,180.3,65.8,190.5,0,0,25,76,25,77,0,0,0,0,0,6,47,11,19,8,10,23,74,2,2,0,0
