DATE,WINNER,TITLE_BOUT,BANTAMWEIGHT,CATCH WEIGHT,FEATHERWEIGHT,FLYWEIGHT,HEAVYWEIGHT,LIGHT HEAVYWEIGHT,LIGHTWEIGHT,MIDDLEWEIGHT,WELTERWEIGHT,WOMEN'S BANTAMWEIGHT,WOMEN'S FEATHERWEIGHT,WOMEN'S FLYWEIGHT,WOMEN'S STRAWWEIGHT,R_ODDS,B_ODDS,R_DEC_ODDS,B_DEC_ODDS,R_SUB_ODDS,B_SUB_ODDS,R_KO_ODDS,B_KO_ODDS,DECISION_MAJORITY,DECISION_SPLIT,DECISION_UNANIMOUS,KO/TKO,SUBMISSION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_WIN_PCT,R_WIN_STREAK,R_LOSS_STREAK,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_HEAD,R_HEAD_ATT,R_BODY,R_BODY_ATT,R_LEG,R_LEG_ATT,R_DISTANCE,R_DISTANCE_ATT,R_CLINCH,R_CLINCH_ATT,R_GROUND,R_GROUND_ATT,R_DEBUT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_WIN_PCT,B_WIN_STREAK,B_LOSS_STREAK,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_HEAD,B_HEAD_ATT,B_BODY,B_BODY_ATT,B_LEG,B_LEG_ATT,B_DISTANCE,B_DISTANCE_ATT,B_CLINCH,B_CLINCH_ATT,B_GROUND,B_GROUND_ATT,B_DEBUT
"January 15, 2022",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.05,1.41,,,,,,,0,0,1,0,0,Calvin Kattar,33.0,180.3,65.8,182.9,0.6666666666666666,0,1,0.01772666762636503,5.076885813581024,11.580611571737478,5.429562590954006,11.941321943109902,0.013213194035820398,0.06507203099343116,0.0,0.0,0.9874662128110727,3.6339254411032273,9.654514252865967,0.7742416787266166,1.148551765786038,0.6687186937511792,0.777545553085472,4.723881162106472,10.982809080790073,0.10622379658601637,0.1634358717811218,0.2467808548885347,0.4343666191662831,0.0,Giga Chikadze,33.0,182.9,65.8,188.0,1.0,6,0,0.14064959379394945,4.625646750103995,9.561563699117078,5.116000333590258,10.131087400819544,0.017024267192175688,0.05584085596139291,0.07077830726691528,0.006112514748274875,2.6915876781240633,2.568852983015907,6.912184404784734,1.2220137120066357,1.622277445837708,0.834780055081451,1.0271018484946353,3.948280015737956,8.507665895053396,0.02182350488780163,0.07520294486179756,0.6555432294782364,0.9786948592018838,0.0
"January 15, 2022",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.74,2.15,2.5,4.33,11.0,4.33,5.0,4.0,0,0,0,0,1,Jake Collier,33.0,190.5,104.3,198.1,0.2857142857142857,0,1,0.00024397607261267718,8.289842442635223,18.169268874760533,8.42286602812968,18.35660363056365,0.0002063852264082379,0.04423807568333855,0.0009670765932038724,0.002926041577805286,0.3115871335356136,5.610113906229012,14.866962411124799,1.282100288403872,1.7739957979719174,1.397628248002339,1.5283106656638186,8.096549188685808,17.92101173593178,0.18657728681380426,0.24007815090423687,0.006715967135610326,0.008178987924512968,0.0,Chase Sherman,32.0,193.0,113.4,198.1,0.3,0,2,0.010950044168592844,6.9886827959029665,14.79965645857829,7.467966555602535,15.27894021827786,0.0,0.0,0.0,0.0,0.40236167796321703,4.128269741846754,11.61551392066303,1.137630298903261,1.3719542439345789,1.7227827551529518,1.8121882939806824,6.706390139084782,14.443865225165021,0.2585958605481489,0.32682834798720795,0.023696796270035212,0.02896288542605756,0.0
"January 15, 2022",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.59,2.45,5.5,4.5,2.8,4.5,5.5,7.0,0,1,0,0,0,Brandon Royval,29.0,175.3,56.7,172.7,0.5,0,2,0.06035191662030692,3.2964298994759456,8.888928266564525,4.724781679492995,11.077647065118832,0.09126990363840431,0.09126990363840431,0.07495146644785214,0.022387754068849335,6.073150907317723,2.0859187160150094,7.242332896500715,0.6810665018598238,0.983365114842053,0.5294446816011126,0.6632302552217585,2.9865441601679064,8.449808461066622,0.14309158730946317,0.20344350392977012,0.16679415199857636,0.23567630156813132,0.0,Rogerio Bontorin,29.0,165.1,56.7,170.2,0.5,0,2,0.0,1.272402729858613,2.9203101022266655,3.3767481436820552,5.411609780204706,0.11979994987090327,0.25036819696042945,0.16957228327657356,0.010896669630628795,20.628190728119794,0.8530801579821329,2.479194191088927,0.3343883266429344,0.3452849962735632,0.08493424523354602,0.09583091486417482,0.9359670798822137,2.5557473545105944,0.22352241059844064,0.25164950833811256,0.11291323937795872,0.11291323937795872,0.0
"January 15, 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.56,2.55,1.83,3.6,13.0,3.6,9.0,10.0,0,0,1,0,0,Katlyn Chookagian,33.0,175.3,56.7,172.7,0.6666666666666666,2,0,0.00035677131966411655,5.631969758014891,14.09679527471287,7.381512910592922,15.917456708462096,0.027568565169509247,0.05426536068922687,0.0378366848567454,0.0,6.3551149246476655,3.6876983519956767,11.228400111413093,1.3035561796691557,2.0292898583693897,0.6407152263500601,0.8391053049303899,4.848592007886673,13.159583453351782,0.3317396780937906,0.4069465521201055,0.4516380720344299,0.530265269240983,0.0,Jennifer Maia,33.0,162.6,56.7,162.6,0.5,1,0,0.0,4.115557922580944,11.06291768806183,5.3583176670386745,12.428943791760616,0.020650050757683665,0.04130010151536733,0.0,0.0,9.391885388684235,2.8918165751088107,9.549037161172986,0.7077038051560562,0.9273630974776571,0.5160375423160763,0.5865174294111885,3.513277469746421,10.236255305022167,0.5645423758970921,0.7551492633982546,0.037738076937430684,0.07151311964140969,0.0
"January 15, 2022",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.91,1.91,2.5,3.25,9.0,3.25,6.0,11.0,0,0,1,0,0,Court McGee,37.0,180.3,77.1,190.5,0.5,1,0,0.007706565634402192,4.028458571222755,9.507375746632102,6.774230670874213,12.60682112885025,0.1030737503276127,0.28252447337553677,0.03190193433385814,0.0029885912138366464,17.798401771040606,1.6566956437118399,6.0136060406592495,0.991712209680161,1.8291521893614846,1.3800507178307546,1.664617516611367,3.421598545935229,8.77936888581685,0.13966230848505004,0.21529375358731248,0.4671977168024764,0.5127131072279384,0.0,Ramiz Brahimaj,29.0,177.8,77.1,182.9,0.5,1,0,0.0,2.7216795157661,7.3521159083746275,3.0171790915717525,7.766444713343071,0.23765845832557925,0.23765845832557925,0.11882922916278962,0.0,16.437392776729187,2.432473928365732,6.715863616093818,0.17352335244022069,0.5205700573206621,0.11568223496014712,0.11568223496014712,2.7216795157661,7.3521159083746275,0.0,0.0,0.0,0.0,0.0
"January 15, 2022",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.33,3.4,3.0,6.5,2.8,6.5,5.5,7.0,0,0,1,0,0,Brian Kelleher,35.0,167.6,61.2,167.6,0.5833333333333334,1,0,0.009788540702438914,2.27300987849991,5.734455353044023,8.686402051423425,13.138313436174139,0.10634483154095517,0.18227284801723365,0.07741942788207322,0.029537615333345483,24.398412309096162,1.4484440093471116,4.392396828813673,0.3203235636144209,0.721151667478921,0.5042423055383779,0.6209068567514289,1.3545661790483967,4.472001431176706,0.06886424677627516,0.10345576304719994,0.8495794526752382,1.1589981588201177,0.0,Kevin Croom,34.0,180.3,70.3,185.4,0.0,0,1,0.0,1.0666666666666667,3.4000000000000004,1.7333333333333334,4.466666666666667,0.06666666666666667,1.0666666666666667,0.0,0.06666666666666667,30.133333333333333,0.6666666666666667,2.9333333333333336,0.06666666666666667,0.13333333333333333,0.33333333333333337,0.33333333333333337,0.9333333333333335,3.0666666666666664,0.13333333333333333,0.33333333333333337,0.0,0.0,0.0
"January 15, 2022",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.38,3.1,2.1,4.0,8.0,4.0,5.0,13.0,0,0,1,0,0,TJ Brown,31.0,175.3,65.8,182.9,0.3333333333333333,1,0,0.0,4.475177858542239,11.620001800887787,6.668551923282818,14.16140942483689,0.1705352145989009,0.36956533883535203,0.03877406080578244,0.0,8.675736649466026,2.9453549255450975,9.350198571910422,1.0593743831202127,1.5870406844372245,0.47044854987692825,0.6827625445401417,3.8745435325103883,10.874757611515886,0.3503958888723754,0.46843801135890245,0.2502384371594746,0.27680617801299917,0.0,Charles Rosa,35.0,175.3,65.8,175.3,0.45454545454545453,0,1,0.0,2.4053537357607255,6.825274254669857,5.7175520712217045,10.651078771819956,0.08095799048583963,0.12673625477631834,0.06388439299938226,0.04001989251028115,5.601321499473557,1.3343919663537287,5.364222618762038,0.3982745489209812,0.691761137962099,0.6726872204860159,0.7692904979457214,2.0583999467313574,6.302184913665941,0.11403701947183055,0.1837425509733918,0.23291676955753784,0.33934679003052487,0.0
"December 18, 2021",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2,1.71,7.5,6.0,34.0,6.0,2.4,2.25,0,0,0,1,0,Derrick Lewis,36.0,190.5,117.9,200.7,0.7,0,1,0.0383587379843364,1.7194054093407152,3.6028093458544577,1.7956815537042872,3.687667290660646,0.020493460437153367,0.08469084331077512,0.0,0.014802582186487745,3.770157403260341,1.2144967756704683,2.830826251706163,0.3965971802334097,0.6425678911263293,0.10831145343683703,0.12941520302196421,0.9371380777656083,2.5643072793582746,0.2728683156645249,0.4337988434134633,0.509399015910582,0.604703223082719,0.0,Chris Daukaus,32.0,190.5,113.4,193.0,1.0,4,0,0.37721961294192935,8.119995890371705,16.509908560499113,8.426683318852806,16.816595988980215,0.0,0.0,0.0,0.0,8.666306885885177,7.265502620748081,15.47258777843854,0.48883824474972326,0.6716657571866734,0.36565502487390034,0.36565502487390034,5.0118181377705735,11.577113771867356,0.5655101018699987,0.9839046063180721,2.542667650731132,3.948890182313685,0.0
"December 18, 2021",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.43,2.9,1.91,4.5,34.0,4.5,4.33,11.0,0,0,1,0,0,Stephen Thompson,38.0,182.9,77.1,190.5,0.6428571428571429,0,1,0.0071965080694080825,4.399842912055551,10.23154494670582,5.812857823118783,11.812106241547616,0.00015297572576717923,0.0019152712613084869,0.0,5.774306245515099e-06,0.12315820050436195,3.2101632425413764,8.733882926116577,0.9191085041819935,1.187495426173073,0.2705711653321808,0.3101665944161703,4.225581658625441,10.004073000357492,0.11967943416303209,0.1549828030002101,0.05458181926707763,0.07248914334811896,0.0,Belal Muhammad,33.0,180.3,77.1,182.9,0.7692307692307693,5,0,0.0,5.11770282907532,11.686471121079338,6.9729803361641265,14.043642943968845,0.06509681536673649,0.3685026808222283,0.006377451859736021,0.0,7.197224926184292,4.118128361088798,10.274773565202539,0.7065399412116525,1.079272601947767,0.29303452677486824,0.33242495392903026,4.656715930328514,10.968233536679847,0.37356014562788037,0.5765161435897693,0.0874267531189249,0.14172144080972035,0.0
"December 18, 2021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.36,3.3,2.05,6.0,7.0,6.0,3.75,10.0,0,1,0,0,0,Amanda Lemos,34.0,162.6,52.2,165.1,0.8,4,0,0.26455586661280855,6.245104657816575,9.954173037777489,7.213914020014522,11.003727484624239,0.10493367824288136,0.10493367824288136,0.02183526710180817,0.0,14.057416960738164,4.296432270442428,7.545852714929772,1.4132013403779369,1.8728492758515032,0.5354710469962116,0.5354710469962116,3.4779207356819137,6.272796888138282,1.1206518871583542,1.3675937940893061,1.6465320349763082,2.313782355549901,0.0,Angela Hill,36.0,160.0,52.2,162.6,0.4117647058823529,0,1,0.006005309260005181,5.734095166656761,11.338336887435366,6.351915069588731,12.186051137046197,0.06109511727341106,0.19948084313043649,0.007054089817035587,0.0,8.386037574408459,3.5091551159871517,8.181654772657907,1.8366897595565566,2.6688946505195363,0.3882502911130528,0.4877874642579227,4.297297041087029,9.46693073547142,1.2473101546789047,1.5452724116175258,0.1894879708908268,0.3261337403464184,0.0
